,Price,Area,Location,No. of Bedrooms,New/Resale,Gymnasium,Lift Available,Car Parking,Maintenance Staff,24x7 Security,Children's Play Area,Clubhouse,Intercom,Landscaped Gardens,Indoor Games,Gas Connection,Jogging Track,Swimming Pool
50,11399999,1550,Kharghar,3,0,1,1,1,1,1,1,0,1,1,0,0,1,0
51,13500000,1500,Kharghar,3,0,1,1,1,1,1,0,1,1,0,0,0,1,1
52,22500000,1850,Kharghar,3,0,1,1,1,1,1,1,1,1,1,0,0,1,1
53,40000000,2100,Kharghar,4,0,1,1,1,1,1,1,1,1,0,0,0,0,1
54,5700000,610,Kharghar,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1
55,4800000,655,Kharghar,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0
56,4500000,660,Kharghar,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0
57,4300000,650,Kharghar,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0
58,4500000,680,Kharghar,1,0,1,1,1,1,1,0,1,0,0,0,0,1,1
59,5300000,670,Kharghar,1,0,1,1,1,1,1,1,1,0,0,0,0,1,1
60,4803000,655,Kharghar,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0
61,13000000,1800,Kharghar,3,0,1,1,1,1,1,0,1,1,0,0,0,1,1
62,15500000,1645,Kharghar,3,0,1,1,1,1,1,0,1,1,0,0,0,1,1
63,13000000,1395,Kharghar,3,0,1,1,1,1,1,1,1,1,0,0,0,1,1
64,8500000,1150,Kharghar,2,0,1,1,1,1,1,0,1,1,1,0,0,1,1
65,9400000,1200,Kharghar,2,0,1,1,1,1,1,1,1,0,1,0,0,1,1
66,4500000,615,Kharghar,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0
67,5300000,670,Kharghar,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1
68,6000000,765,Kharghar,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1
69,5600000,650,Kharghar,1,0,1,1,1,1,1,1,1,1,0,0,0,1,1
70,17500000,1760,Kharghar,3,0,1,1,1,1,1,1,1,0,0,0,0,1,1
71,12000000,1415,Kharghar,3,0,1,1,1,1,1,1,1,1,1,1,0,1,1
72,15000000,1685,Kharghar,3,0,1,1,1,1,1,1,1,0,1,1,1,1,1
73,13000000,1800,Kharghar,3,0,1,1,1,1,1,1,1,1,0,0,0,1,1
74,16600000,1650,Kharghar,3,0,1,1,1,1,1,0,1,1,0,0,0,1,1
75,13000000,1395,Kharghar,3,0,1,1,1,1,1,1,1,0,0,0,0,1,1
76,9400000,1200,Kharghar,2,0,1,1,1,1,1,1,1,1,1,0,0,1,1
77,5700000,650,Kharghar,1,0,0,1,1,1,1,1,1,0,1,0,0,0,0
78,5500000,560,Kharghar,1,0,0,1,1,1,1,1,0,0,1,0,1,0,0
79,6000000,765,Kharghar,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1
80,5600000,650,Kharghar,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1
81,4900000,655,Kharghar,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0
82,13500000,1390,Kharghar,3,0,1,1,1,1,1,1,1,1,0,0,0,1,1
83,22000000,1590,Kharghar,3,0,1,1,1,1,1,1,1,1,1,1,1,1,1
84,17500000,1760,Kharghar,3,0,1,1,1,1,1,1,1,0,0,0,1,1,1
85,17800000,1716,Kharghar,3,0,1,1,1,1,1,0,1,1,1,1,0,1,1
86,14000000,1680,Kharghar,3,0,1,1,1,1,1,1,1,1,1,1,0,1,1
87,7200000,1050,Kharghar,2,0,1,1,1,1,1,1,1,1,1,0,1,1,1
88,7000000,1100,Kharghar,2,0,0,1,1,1,1,0,0,1,1,0,0,1,0
89,15000000,1635,Kharghar,3,0,1,1,1,1,1,1,0,1,1,0,1,0,1
90,10000000,1078,Kharghar,2,0,1,1,1,1,1,1,1,1,1,1,0,1,1
91,17500000,1760,Kharghar,3,0,1,1,1,1,1,1,1,0,1,0,0,1,1
92,11000000,1415,Kharghar,3,0,1,1,1,1,1,0,1,1,1,1,0,1,1
93,13000000,1800,Kharghar,3,0,1,1,1,1,1,1,1,1,1,0,0,1,1
94,12500000,1147,Kharghar,2,0,1,1,1,1,1,1,1,1,1,0,0,1,1
95,13000000,1197,Kharghar,2,0,1,1,1,1,1,1,0,1,1,0,0,0,1
96,15000000,1300,Kharghar,3,0,0,1,1,1,1,1,1,1,0,0,0,0,1
97,7500000,1050,Kharghar,2,0,0,1,1,1,1,0,0,0,0,0,0,1,0
98,9500000,1240,Kharghar,2,0,1,1,1,1,1,1,1,0,1,1,0,1,1
99,5500000,650,Kharghar,1,0,1,1,1,1,1,0,1,0,0,0,0,1,0
100,5000000,600,Sector 20 Kharghar,1,0,0,1,1,1,1,1,0,0,1,0,0,0,0
101,5000000,550,Kharghar,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0
102,5500000,550,Kharghar,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1
103,4200000,650,Kharghar,1,0,0,1,1,1,1,0,0,0,1,0,0,0,0
104,4200000,646,Kharghar,1,0,0,1,1,1,1,0,0,1,0,0,1,0,0
105,6000000,740,Kharghar,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1
106,5000000,570,Kharghar,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0
107,5500000,670,Kharghar,1,0,1,1,1,1,1,0,1,0,1,0,0,1,1
108,4300000,640,Kharghar,1,0,1,1,1,1,1,0,1,0,0,0,0,1,1
109,15500000,1700,Kharghar,3,0,1,1,1,1,1,1,1,1,0,0,1,1,1
110,11399999,1550,Kharghar,3,0,0,1,1,1,1,0,0,1,1,0,0,0,0
111,12000000,1530,Kharghar,3,0,1,1,1,1,1,1,1,1,0,0,0,1,1
112,16000000,1750,Kharghar,3,0,0,1,1,1,1,0,0,1,0,0,1,0,0
113,22000000,1590,Kharghar,3,0,1,1,1,1,1,1,1,1,0,1,0,1,1
114,11000000,1415,Kharghar,3,0,1,1,1,1,1,1,1,1,1,1,0,1,1
115,16600000,1650,Kharghar,3,0,1,1,1,1,1,0,1,1,0,0,1,1,1
116,14000000,1687,Kharghar,3,0,1,1,1,1,1,1,1,1,1,1,1,1,1
117,8500000,1150,Kharghar,2,0,1,1,1,1,1,1,1,1,0,1,0,1,1
118,6000000,555,Kharghar,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0
119,4900000,600,Kharghar,1,0,0,1,1,1,1,1,1,1,1,0,1,1,0
120,4200000,646,Kharghar,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0
121,4500000,650,Kharghar,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0
122,4300000,640,Kharghar,1,0,1,1,1,1,1,0,1,1,0,0,0,1,1
123,5500000,650,Kharghar,1,0,0,1,1,1,1,0,0,1,1,0,1,0,0
124,13500000,1400,Kharghar,3,0,1,1,1,1,1,1,1,1,0,0,1,1,1
125,15000000,1780,Kharghar,3,0,1,1,1,1,1,0,1,1,0,0,0,1,1
126,14000000,1687,Kharghar,3,0,1,1,1,1,1,1,1,0,1,1,1,1,1
127,6900000,1100,Kharghar,2,0,0,1,1,1,1,0,0,1,1,0,0,0,0
128,8300000,1050,Kharghar,2,0,1,1,1,1,1,1,1,1,1,1,0,1,1
129,9000000,1160,Kharghar,2,0,1,1,1,1,1,0,1,1,1,0,0,1,1
130,5100000,700,Kharghar,1,0,0,1,1,1,1,0,0,1,1,0,1,0,0
131,5200000,625,Kharghar,1,0,1,1,1,1,1,1,1,1,0,0,0,0,1
132,5500000,670,Kharghar,1,0,1,1,1,1,1,0,1,1,1,0,0,1,1
133,5500000,550,Kharghar,1,0,1,1,1,1,1,1,1,1,0,0,0,1,1
134,5400000,650,Kharghar,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0
135,5300000,660,Kharghar,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1
136,5500000,550,Kharghar,1,0,1,1,1,1,1,1,1,0,0,0,1,1,1
137,5000000,570,Kharghar,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0
138,14000000,1550,Kharghar,3,0,1,1,1,1,1,1,1,1,1,1,0,1,1
139,17100000,1760,Kharghar,3,0,1,1,1,1,1,1,1,0,0,0,0,1,1
140,11800000,1475,Kharghar,3,0,1,1,1,1,1,1,1,1,1,1,0,1,1
141,6000000,759,Kharghar,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1
142,4850000,600,Kharghar,1,0,0,1,1,1,1,1,1,1,1,0,1,1,0
143,4500000,550,Kharghar,1,0,0,1,1,1,1,0,0,0,1,0,0,0,0
144,4100000,620,Kharghar,1,0,1,1,1,1,1,0,0,1,0,0,0,0,1
145,5000000,550,Kharghar,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0
146,5500000,745,Kharghar,1,0,0,1,1,1,1,1,0,1,1,0,0,1,0
147,4500000,580,Kharghar,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0
148,5300000,670,Kharghar,1,0,1,1,1,1,1,0,1,0,1,0,1,1,1
149,19000000,1845,Kharghar,3,0,1,1,1,1,1,1,1,1,1,0,0,1,1
150,13500000,1400,Kharghar,3,0,1,1,1,1,1,1,1,1,0,0,0,1,1
151,13600000,1680,Kharghar,3,0,1,1,1,1,1,1,1,1,1,1,1,1,1
152,15500000,1645,Kharghar,3,0,1,1,1,1,1,0,1,1,0,0,1,1,1
153,16500000,1585,Kharghar,3,0,1,1,1,1,1,1,1,1,0,0,0,1,1
154,8600000,1350,Kharghar,2,0,0,1,1,1,1,0,0,1,1,0,0,0,0
155,10000000,1075,Kharghar,2,0,1,1,1,1,1,1,1,1,1,1,0,1,1
156,10500000,1155,Kharghar,2,0,1,1,1,1,1,1,1,1,1,1,1,1,1
157,4700000,625,Kharghar,1,0,1,1,1,1,1,1,1,1,0,0,0,1,1
158,6200000,720,Kharghar,1,0,1,1,1,1,1,1,1,0,1,0,0,1,1
159,4500000,550,Kharghar,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0
160,6900000,735,Kharghar,1,0,1,1,1,1,1,1,1,1,0,1,0,1,1
161,4500000,580,Kharghar,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0
162,10000000,1505,Kharghar,3,0,1,1,1,1,1,0,0,0,0,0,0,0,0
163,13000000,1630,Kharghar,3,0,0,1,1,1,1,0,0,1,1,0,0,0,0
164,11000000,1550,Kharghar,3,0,1,1,1,1,1,1,0,1,1,0,0,1,0
165,13000000,1455,Sector 18 Kharghar,3,0,0,1,1,1,1,0,0,1,0,0,0,0,0
166,10500000,1098,Kharghar,2,0,1,1,1,1,1,0,1,1,1,0,0,1,1
167,13000000,1210,Sector 15 Kharghar,2,0,1,1,1,1,1,1,1,1,1,0,0,0,0
168,9500000,1000,Kharghar,2,0,1,1,1,1,1,0,1,1,0,0,0,1,1
169,4500000,550,Kharghar,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0
170,13000000,1630,Kharghar,3,0,0,1,1,1,1,0,0,1,0,0,0,0,0
171,13600000,1680,Kharghar,3,0,1,1,1,1,1,1,1,1,1,1,0,1,1
172,16200000,1650,Kharghar,3,0,1,1,1,1,1,0,1,1,0,0,0,1,1
173,15000000,1440,Kharghar,3,0,1,1,1,1,1,1,1,1,1,1,0,1,1
174,13200000,1370,Kharghar,3,0,1,1,1,1,1,1,1,1,0,0,0,1,1
175,7500000,1022,Sector 18 Kharghar,2,0,0,1,1,1,1,0,0,0,0,0,0,0,0
176,9500000,1000,Kharghar,2,0,1,1,1,1,1,0,1,0,0,0,0,1,1
177,15000000,1760,Kharghar,3,0,1,1,1,0,1,1,1,0,0,0,0,1,1
178,7500000,1100,Kharghar,2,0,0,1,1,1,1,0,0,1,0,0,0,1,1
179,13000000,1550,Sector 20 Kharghar,3,0,1,1,1,1,1,1,1,1,0,0,0,0,1
180,16200000,1675,Kharghar,3,1,1,1,1,1,1,1,1,0,1,1,0,1,1
181,11000000,1060,Kharghar,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0
182,11600000,1150,Kharghar,2,0,1,1,1,0,1,1,1,0,1,1,0,1,1
183,5600000,670,Kharghar,1,0,1,1,1,0,1,1,1,0,1,0,0,1,1
184,8000000,900,Kharghar,2,0,1,1,1,1,1,1,1,1,1,0,1,1,1
185,9500000,1088,Kharghar,2,0,1,1,1,1,1,1,0,1,1,0,0,1,0
186,2018000,375,Dombivali,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
187,65000000,1200,Churchgate,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0
188,45000000,1717,Prabhadevi,3,1,1,0,0,0,0,1,0,0,0,0,0,0,0
189,16500000,750,Jogeshwari West,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0
190,2375000,525,Kalyan East,1,0,1,0,1,0,1,1,1,1,1,1,0,0,1
191,19500000,1200,Malad East,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
192,2000000,420,Virar East,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
193,2500000,540,Virar East,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
194,2250000,415,Virar East,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
195,2700000,650,Virar,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
196,22000000,1100,Malad West,2,0,1,1,1,1,1,1,1,1,1,1,0,1,1
197,17000000,1105,Borivali East,2,0,1,1,1,1,1,1,1,1,1,1,0,1,1
198,43500000,2600,Malad East,3,1,1,1,1,1,1,1,1,1,1,1,0,1,1
199,4760000,700,Mira Road East,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0
200,18100000,1296,Goregaon West,2,1,1,1,1,1,1,1,1,1,1,1,0,1,1
201,23800000,1638,Goregaon West,3,1,1,1,1,1,1,1,1,1,1,1,0,1,1
202,21200000,1465,Goregaon West,3,1,1,1,1,1,1,1,1,1,1,1,0,1,1
203,8600000,700,Borivali East,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
204,36500000,2030,Goregaon West,3,1,1,1,1,1,1,1,1,1,1,1,0,1,1
205,23700000,1450,Malad West,3,1,1,1,1,0,1,1,1,0,1,0,0,1,1
206,21400000,1100,Malad West,2,1,1,1,1,1,1,1,1,1,1,1,0,1,1
207,12500000,800,Kandivali West,2,1,1,1,1,1,1,1,1,1,1,1,0,1,1
208,18000000,1500,Kandivali West,3,1,1,1,1,1,1,1,1,1,1,1,0,1,1
209,13200000,1100,Kandivali West,2,1,1,1,1,1,1,1,1,1,1,1,0,1,1
210,35300000,1962,Kandivali West,3,1,1,1,1,1,1,1,1,1,1,1,0,1,1
211,15300000,950,Borivali East,2,0,1,1,1,1,1,1,1,1,1,1,0,1,1
212,25000000,1440,Kandivali West,3,1,1,1,1,1,1,1,1,1,1,1,0,1,1
213,13899999,1200,Kandivali West,2,1,1,1,1,1,1,1,1,1,1,1,0,1,1
214,33500000,1785,Borivali West,3,1,1,1,1,1,1,1,1,1,1,1,0,1,1
215,14500000,775,Goregaon West,2,1,1,1,1,1,1,1,1,1,1,1,0,1,1
216,9000000,765,Kandivali West,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
217,13500000,910,Goregaon West,2,1,1,1,1,1,1,1,1,1,1,1,0,1,1
218,9000000,640,Goregaon West,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
219,21600000,1264,Malad East,2,1,1,1,1,1,1,1,1,1,1,1,0,1,1
220,13700000,1056,Kandivali West,2,0,1,1,1,1,1,1,1,1,1,1,0,1,1
221,27799999,1810,Kandivali East,3,1,1,1,1,1,1,1,1,1,1,1,0,1,1
222,27900000,1656,Goregaon West,3,0,1,1,1,1,1,1,1,1,1,1,0,1,1
223,81600000,3888,Goregaon West,4,0,1,1,1,1,1,1,1,1,1,1,0,1,1
224,38600000,2030,Borivali West,3,1,1,1,1,1,1,1,1,1,1,1,0,1,1
225,17000000,1114,Andheri East,3,1,1,1,1,0,0,1,1,1,1,0,0,1,1
226,60100000,3585,Goregaon West,4,1,1,1,1,1,1,0,1,1,1,1,0,1,1
227,27900000,1404,Goregaon East,2,1,1,1,1,1,1,1,1,1,1,1,0,1,1
228,31500000,1620,Goregaon East,3,1,1,1,1,1,1,1,1,1,1,1,0,1,1
229,37500000,2780,Malad East,4,1,1,1,1,1,1,1,1,1,1,1,0,1,1
230,31000000,1672,Malad East,3,0,1,1,1,1,1,1,1,1,1,1,0,1,1
231,21100000,1200,Malad East,2,0,1,1,1,1,1,1,1,1,1,1,0,1,1
232,16500000,1200,Malad East,2,1,1,1,1,1,1,1,1,1,1,1,0,1,1
233,16000000,1250,Borivali East,2,0,1,1,1,1,1,1,1,1,1,1,0,1,1
234,26000000,1840,Borivali East,3,0,1,1,1,1,1,1,1,1,1,1,0,1,1
235,15200000,1170,Malad West,2,0,1,1,1,0,1,1,1,1,1,0,0,1,1
236,2300000,310,Kharghar,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
237,33000000,1245,Wadala,3,0,1,1,1,0,1,1,1,1,1,0,1,1,1
238,29000000,1153,Wadala,3,0,1,1,1,0,1,1,1,1,1,0,1,1,1
239,11200000,573,Ulwe,2,1,1,1,1,1,1,1,1,1,1,0,0,1,1
240,9000000,1100,Ulwe,2,0,1,1,1,0,1,1,1,1,1,0,0,1,1
241,8500000,1135,Ulwe,2,0,1,1,1,0,1,1,1,1,0,1,0,1,1
242,9000000,1060,Kharghar,2,0,1,1,1,0,1,1,1,1,1,1,0,1,1
243,11500000,560,Malad West,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
244,12100000,1150,Dahisar,2,1,1,1,1,0,1,1,0,1,0,0,0,1,1
245,11000000,1054,kandivali,2,1,1,1,1,0,1,1,1,0,1,0,0,1,1
246,27000000,1695,Goregaon,3,1,1,1,1,0,1,1,1,1,0,1,0,1,1
247,21600000,1579,Goregaon,3,1,1,1,1,0,1,1,1,0,1,1,0,1,1
248,30200000,2153,Goregaon,3,1,1,1,1,0,1,1,1,1,1,1,0,1,1
249,41200000,1872,Goregaon,4,1,1,1,1,0,1,1,1,1,1,0,0,1,1
250,30500000,1717,Goregaon,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1
251,36700000,1675,Goregaon East,4,1,1,1,1,1,1,1,1,1,1,0,0,1,1
252,23800000,1672,Malad East,3,1,1,1,1,1,1,1,1,1,1,1,0,1,1
253,20500000,1457,Malad East,3,1,1,1,1,0,1,0,0,0,1,0,0,0,1
254,5500000,425,Bhandup West,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
255,9000000,560,thakur village kandivali east,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
256,32500000,1200,Santacruz West,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
257,8500000,575,Kanjurmarg,1,0,1,1,1,0,1,0,1,0,0,0,1,1,1
258,9000000,400,Borivali East,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
259,2500000,300,Kandivali East,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
260,5500000,400,I C Colony,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0
261,8000000,650,Dahisar W,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
262,27500000,1600,Malad East,3,1,1,1,1,0,1,1,1,1,1,1,0,1,1
263,11500000,860,Marol,1,0,1,1,1,0,1,0,0,0,1,0,0,0,1
264,35900000,1320,Parel,2,0,0,1,1,0,1,0,0,0,1,0,0,0,1
265,42000000,1200,Lower Parel,2,0,0,1,1,0,1,0,0,0,1,0,0,0,1
266,33100000,1320,Parel,2,0,0,1,1,0,1,0,0,0,1,0,0,0,1
267,106000000,2826,Worli,3,0,0,1,1,0,1,0,0,0,1,0,0,0,1
268,101400000,2880,Lower Parel,3,0,0,1,1,0,0,0,0,0,1,0,0,0,1
269,32500000,997,Jogeshwari East,3,0,0,1,1,0,1,0,0,0,1,0,0,0,0
270,18500000,1038,Jogeshwari East,2,1,1,1,0,0,0,1,1,1,1,0,0,0,1
271,11000000,600,Malad West,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0
272,9200000,400,Chembur Shell Colony,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0
273,50100000,2800,Central Avenue,4,0,1,1,1,1,1,0,0,0,0,0,0,0,0
274,33000000,1400,Chembur East,3,0,0,1,1,1,1,0,0,0,0,0,0,0,0
275,34100000,1500,Diamond Market Road,3,0,1,1,1,1,1,0,0,0,0,0,0,0,0
276,21800000,1412,Mulund,3,0,1,1,1,0,0,0,1,1,1,1,1,0,0
277,21200000,1412,Mulund,3,0,1,1,1,0,0,0,1,1,1,1,1,0,0
278,3000000,545,Nalasopara West,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
279,11000000,585,raheja vihar,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0
280,17900000,1000,raheja vihar,2,0,0,1,1,1,1,0,0,0,0,0,0,0,0
281,19500000,1050,Powai Lake,2,0,1,1,1,1,1,0,0,0,0,0,0,0,0
282,19500000,1014,MHADA Colony 20,2,0,0,1,1,1,0,0,0,0,0,0,0,0,0
283,16000000,900,Goregaon East,2,0,0,1,1,1,1,1,0,1,0,0,0,0,0
284,11500000,600,Tolaram Colony,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0
285,10500000,700,Tolaram Colony,2,0,1,1,1,1,1,0,0,0,0,0,0,0,0
286,6400000,1550,Taloja,3,0,1,1,1,0,0,0,0,1,0,0,0,0,1
287,90000000,5245,Thane West,5,1,1,1,1,0,0,1,1,1,1,1,1,1,1
288,2100000,529,Vangani,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
289,3600000,530,Sector 20 Kharghar,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0
290,9200000,1260,Sector 5 Ulwe,2,0,1,1,1,1,1,0,0,0,0,0,0,0,0
291,9000000,1260,Sector12 New Panvel,2,0,1,1,1,1,1,0,0,0,0,0,0,0,0
292,9200000,1150,Sector 17 Ulwe,2,0,1,1,1,1,1,0,0,0,0,0,0,0,0
293,5300000,690,Sector 17 Ulwe,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0
294,15500000,1240,Sector9 Kamothe,3,0,1,1,1,1,1,0,0,0,0,0,0,0,0
295,9500000,1260,Sector 19 Kharghar,2,0,1,1,1,1,1,0,0,0,0,0,0,0,0
296,9000000,1240,Sector 5 Ulwe,2,0,1,1,1,1,1,0,0,0,0,0,0,0,0
297,10100000,1265,Navi Basti,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
298,10800000,1260,Sector12 Kamothe,2,0,1,1,1,1,1,0,1,0,0,0,0,0,0
299,11000000,1255,Sector 21 Kamothe,2,0,1,1,1,1,1,0,0,0,0,0,0,0,0
300,7200000,1055,Sector 19 Kharghar,2,0,1,1,1,1,1,0,0,0,0,0,0,0,0
301,7000000,1060,Sector 5 Ulwe,2,0,1,1,1,1,1,0,0,0,0,0,0,0,0
302,12700000,1238,Navi Basti,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
303,8500000,1150,Sector12 Kamothe,2,0,1,1,1,1,1,0,0,0,0,0,0,0,0
