Year,CSIRO Adjusted Sea Level,Lower Error Bound,Upper Error Bound,NOAA Adjusted Sea Level
1943,3.098425194,2.673228344,3.523622044,
1944,2.84645669,2.425196848,3.267716532,
1945,2.95669291,2.535433068,3.377952752,
1946,3.251968501,2.834645666,3.669291335,
1947,3.374015745,2.996062989,3.7519685,
1948,3.562992122,3.19685039,3.929133854,
1949,3.51181102,3.181102359,3.842519681,
1950,3.598425193,3.287401571,3.909448815,
1951,3.972440941,3.665354327,4.279527555,
1952,3.870078736,3.56692913,4.173228342,
1953,4.043307082,3.748031492,4.338582673,
1954,3.929133854,3.64173228,4.216535429,
1955,3.964566925,3.685039366,4.244094484,
1956,3.763779524,3.488188973,4.039370075,
1957,4.291338578,4.019685035,4.562992121,
1958,4.346456688,4.086614169,4.606299208,
1959,4.358267712,4.102362201,4.614173224,
1960,4.503937003,4.244094484,4.763779523,
1961,4.748031491,4.488188972,5.007874011,
1962,4.543307082,4.283464563,4.803149601,
1963,4.480314956,4.220472437,4.740157475,
1964,4.169291334,3.905511807,4.433070862,
1965,4.610236216,4.346456688,4.874015743,
1966,4.397637791,4.137795271,4.65748031,
1967,4.452755901,4.196850389,4.708661413,
1968,4.484251964,4.220472437,4.748031491,
1969,4.751968499,4.476377948,5.02755905,
1970,4.67716535,4.401574799,4.9527559,
1971,4.881889759,4.610236216,5.153543302,
1972,5.240157475,4.968503932,5.511811018,
1973,5.003937003,4.736220468,5.271653538,
1974,5.472440939,5.204724404,5.740157474,
1975,5.409448813,5.145669286,5.673228341,
1976,5.370078735,5.1023622,5.63779527,
1977,5.303149601,5.043307081,5.56299212,
1978,5.555118105,5.291338577,5.818897632,
1979,5.362204719,5.098425192,5.625984246,
1980,5.598425191,5.34251968,5.854330703,
1981,6.086614167,5.830708655,6.342519679,
1982,5.858267711,5.610236215,6.106299206,
1983,6.188976372,5.93307086,6.444881883,
1984,6.153543301,5.905511805,6.401574797,
1985,5.74803149,5.499999994,5.996062986,
1986,5.771653537,5.523622042,6.019685033,
1987,5.795275585,5.551181097,6.039370073,
1988,5.980314955,5.732283459,6.22834645,
1989,6.157480309,5.905511805,6.409448812,
1990,6.232283458,5.972440939,6.492125978,
1991,6.334645663,6.074803143,6.594488182,
1992,6.35826771,6.094488183,6.622047237,
1993,6.291338576,6.027559049,6.555118104,6.297493046
1994,6.499999993,6.236220466,6.763779521,6.310933553
1995,6.618110229,6.354330702,6.881889757,6.452568661
1996,6.787401568,6.523622041,7.051181095,6.62763131
1997,7.066929127,6.803149599,7.330708654,6.733920367
1998,6.665354324,6.393700781,6.937007867,6.865806069
1999,7.011811016,6.736220466,7.287401567,6.848689771
2000,7.062992119,6.791338576,7.334645662,6.920582014
2001,7.287401567,7.019685032,7.555118103,7.087460011
2002,7.381889756,7.110236213,7.653543299,7.319697525
2003,7.759842512,7.484251961,8.035433063,7.488352718
2004,7.740157472,7.464566922,8.015748023,7.507932839
2005,7.74409448,7.472440937,8.015748023,7.644563144
2006,7.917322827,7.645669284,8.18897637,7.697420009
2007,7.996062984,7.712598417,8.279527551,7.70214715
2008,8.350393692,8.078740149,8.622047235,7.90736541
2009,8.586614164,8.311023614,8.862204715,8.04635409
2010,8.901574794,8.618110227,9.185039361,8.122972567
2011,8.96456692,8.661417314,9.267716526,8.053065004
2012,9.326771644,8.992125975,9.661417313,8.457057629
2013,8.980314951,8.622047235,9.338582668,8.546648227
